State,Forest Name,Area (City),Region (Zone),Fire Occurrence,Month,Day,Oxygen,Temperature,Humidity,FFMC,DMC,DC,ISI,RH,Wind
Karnataka,Satkosia Tiger Reserve,Sangareddy,Northern,1,5,18,92,40,25,82,498,1766,116,504,15
Manipur,Indravati National Park,Lahaul and Spiti,Eastern,1,9,12,88,50,20,70,70,1313,122,116,4
West Bengal,Jamwa Ramgarh Wildlife Sanctuary,East Siang,Eastern,0,5,2,34,37,99,65,234,597,259,678,15
Odisha,Fambong Lho Wildlife Sanctuary,Gurgaon,Central,0,10,18,87,25,57,44,278,972,225,753,7
Bihar,Borail Wildlife Sanctuary,Great Nicobar,Southern,0,12,29,90,16,40,86,448,1333,291,789,7
Maharashtra,Khalasuni Wildlife Sanctuary,Balasore,Northern,1,3,21,92,45,29,94,166,1586,185,490,5
Gujarat,Nongkhyllem Wildlife Sanctuary,Little Andaman,Western,0,9,7,23,35,4,67,194,1251,84,341,22
Jharkhand,Kanjli Wetland,Nainital,Central,1,9,20,100,43,9,63,172,5,217,425,4
Sikkim,Thol Lake Wildlife Sanctuary,Ukhrul,Southern,1,4,27,87,41,94,15,194,1466,142,469,7
Gujarat,Askot Wildlife Sanctuary,Nilgiris,Northern,0,4,12,61,36,10,9,62,309,89,133,20
Bihar,Vansda National Park,Mumbai,Eastern,0,11,20,43,24,62,20,69,784,267,877,7
Assam,Sharavathi Valley Wildlife Sanctuary,Hoshangabad,Southern,1,8,25,90,40,6,91,222,1945,75,179,9
Nagaland,Nameri National Park,West Godavari,Southern,1,7,14,96,48,58,11,309,855,68,676,16
Haryana,Chandraprabha Wildlife Sanctuary,Porbandar,Southern,1,11,10,87,42,11,12,282,904,297,211,19
Chhattisgarh,Udanti Wildlife Sanctuary,Chamoli,Eastern,1,5,9,100,49,63,80,348,1025,159,517,5
Andhra Pradesh,Kanwar Lake Bird Sanctuary,Kendrapara,Western,0,6,23,85,30,40,81,78,1811,7,584,17
Kerala,Bandhavgarh National Park,Kullu,Central,0,3,30,52,14,59,9,35,1626,218,412,24
Assam,Phawngpui National Park,Jalpaiguri,Western,0,6,15,63,37,71,91,388,773,87,356,11
Meghalaya,Yangoupokpi-Lokchao Wildlife Sanctuary,Sepahijala,Northern,1,8,26,93,40,27,12,194,753,140,452,11
Meghalaya,Dibang Wildlife Sanctuary,Khammam,Central,1,10,31,99,47,79,33,434,1398,28,434,11
Jammu and Kashmir,Balphakram National Park,Dhamtari,Northern,1,11,20,91,48,62,58,216,1269,12,76,12
Bihar,Hadagarh Wildlife Sanctuary,Kohima,Eastern,0,9,24,30,31,2,48,287,1495,62,282,14
Madhya Pradesh,"Marine National Park, Gulf of Kutch",South Tripura,Western,1,3,10,93,42,31,5,148,1614,174,726,5
Telangana,Mhadei Wildlife Sanctuary,Pune,Southern,1,8,19,83,42,20,11,495,822,215,676,4
Telangana,Govind Wildlife Sanctuary,West Godavari,Central,0,12,19,76,12,54,28,272,1327,234,685,21
Himachal Pradesh,Satkosia Tiger Reserve,Yamunanagar,Southern,0,3,12,59,31,17,76,200,57,86,609,22
Chhattisgarh,Daranghati Wildlife Sanctuary,Dibang Valley,Northern,1,2,23,96,42,52,25,153,1248,73,536,22
Haryana,Satkosia Tiger Reserve,Lower Dibang Valley,Southern,0,5,29,58,33,74,67,21,1449,293,420,21
Maharashtra,Harike Wetland,South Tripura,Southern,1,4,27,87,42,60,78,296,1225,68,150,19
Uttarakhand,Gandhi Sagar Wildlife Sanctuary,Unnao,Eastern,0,5,12,41,33,49,15,493,1940,68,731,7
Jammu and Kashmir,Gir Forest National Park,West Champaran,Eastern,1,6,9,98,47,7,52,314,517,222,502,21
Rajasthan,Satkosia Tiger Reserve,Tinsukia,Western,0,3,29,33,15,11,18,214,29,284,665,8
Jharkhand,Lothian Island Wildlife Sanctuary,Tinsukia,Northern,0,1,27,61,34,50,46,330,150,121,587,5
Punjab,Mehao Wildlife Sanctuary,Balasore,Eastern,0,4,20,39,24,65,89,121,547,262,887,24
Karnataka,Jim Corbett National Park,Baksa,Eastern,0,6,4,59,21,40,31,265,109,220,947,24
Madhya Pradesh,Balphakram National Park,Kiphire,Western,1,2,1,91,39,21,69,342,1144,163,742,6
Assam,Bir Moti Bagh Wildlife Sanctuary,Ukhrul,Central,1,2,16,93,46,8,69,260,240,262,514,16
Rajasthan,Neora Valley National Park,Dhamtari,Western,0,1,1,81,28,77,60,54,1794,91,584,23
Haryana,Bhitarkanika National Park,Unnao,Southern,1,9,13,95,45,78,4,281,1625,265,622,14
Gujarat,Phawngpui Blue Mountain National Park,Lakhimpur Kheri,Southern,0,3,30,62,30,10,58,259,1953,73,334,21
Uttarakhand,Trishna Wildlife Sanctuary,Alwar,Eastern,0,2,3,80,30,12,1,362,1053,89,583,14
Andhra Pradesh,Vikramshila Gangetic Dolphin Sanctuary,Mainpuri,Eastern,1,4,12,93,46,55,1,282,465,295,411,23
Rajasthan,Guindy Snake Park,Ukhrul,Western,1,6,29,90,42,27,2,229,464,128,254,6
Telangana,Bannerghatta Biological Park,Tarn Taran,Western,1,1,23,92,39,88,69,481,236,48,217,11
Mizoram,Sirohi National Park,Leh,Northern,1,9,29,87,50,63,94,125,1394,85,207,17
Maharashtra,Tansa Wildlife Sanctuary,Sepahijala,Southern,1,9,31,100,44,63,42,441,1705,143,760,12
Punjab,Harike Wetland Wildlife Sanctuary,Sirohi,Western,1,8,9,87,39,69,4,258,1172,134,289,14
Karnataka,Dr. Daying Ering Memorial Wildlife Sanctuary,Rajsamand,Central,1,6,4,97,40,54,49,49,373,114,851,13
Meghalaya,Khawnglung Wildlife Sanctuary,Anantnag,Northern,0,4,2,71,14,36,9,223,599,276,576,11
Punjab,Fambong Lho Wildlife Sanctuary,Ukhrul,Western,1,2,22,98,39,32,26,380,515,65,983,23
Odisha,Dibang Wildlife Sanctuary,Sepahijala,Eastern,0,8,22,94,28,24,23,281,1456,186,284,11
Andhra Pradesh,Nakti Dam Wildlife Sanctuary,Upper Siang,Western,1,7,9,85,39,22,21,145,251,200,515,18
Rajasthan,Rollapadu Wildlife Sanctuary,South Tripura,Eastern,1,12,31,94,42,59,88,390,1967,137,707,9
Odisha,Unnamed Wildlife Sanctuary (Andaman and Nicobar Islands),Sawai Madhopur,Eastern,0,4,20,89,26,55,2,372,1496,51,630,20
Nagaland,Kanha National Park,Panna,Southern,0,3,24,54,21,62,15,44,562,212,701,23
Haryana,Palamau Tiger Reserve,Dang,Southern,0,6,13,64,25,7,29,396,535,157,677,6
Mizoram,Lawalong Wildlife Sanctuary,Sirohi,Western,0,1,14,87,25,16,42,261,1069,289,962,18
Chhattisgarh,Bhimashankar Wildlife Sanctuary,Udhampur,Western,1,2,29,100,48,94,3,418,627,205,231,8
Andhra Pradesh,Udanti Wildlife Sanctuary,Champhai,Central,1,7,3,83,44,89,39,478,1562,135,641,21
Punjab,Nagarjunsagar-Srisailam Tiger Reserve,Hyderabad,Northern,0,11,18,78,13,56,15,233,606,74,988,13
Kerala,Baghmara Pitcher Plant Sanctuary,Sivaganga,Northern,0,3,9,77,27,74,71,52,1902,68,880,23
Karnataka,Sariska Tiger Reserve,Udaipur,Western,1,1,15,81,45,61,87,484,434,48,603,22
Chhattisgarh,Baghmara Pitcher Plant Wildlife Sanctuary,Nilgiris,Southern,1,2,22,97,41,93,15,234,610,201,331,12
Gujarat,Chimmony Wildlife Sanctuary,North and Middle Andaman,Central,0,10,27,36,38,10,90,195,1651,61,636,10
Telangana,Rani Jhansi Marine National Park,Kurnool,Northern,1,10,24,98,47,66,65,425,275,166,811,24
Punjab,Porbandar Bird Sanctuary,Mysuru,Western,1,9,27,95,47,39,54,3,847,204,206,20
Tripura,Kane Wildlife Sanctuary,Canacona,Southern,0,7,10,23,16,39,19,59,1531,148,625,18
Manipur,Sitanadi Wildlife Sanctuary,Ernakulam,Southern,0,7,25,85,17,55,50,172,1118,120,360,15
Telangana,Puliebadze Wildlife Sanctuary,Chamoli,Southern,0,10,17,92,30,52,83,71,1734,96,350,15
Bihar,Samaspur Bird Sanctuary,Udhampur,Eastern,0,8,13,96,16,84,83,485,1169,52,372,24
Haryana,Nanda Devi National Park,Keonjhar,Southern,1,12,1,100,42,98,82,74,903,8,100,21
Tripura,Intanki National Park,Alwar,Western,0,12,11,61,34,27,56,321,666,250,543,16
Meghalaya,Vikramshila Gangetic Dolphin Sanctuary,Jalpaiguri,Central,1,8,5,87,42,85,50,465,781,123,469,23
Jammu and Kashmir,Valley of Flowers National Park,Sepahijala,Western,1,9,9,81,39,41,17,465,1425,121,130,17
Uttar Pradesh,Eravikulam National Park,Mamit,Southern,1,2,7,90,43,45,76,21,832,198,528,22
Sikkim,Bir Shikargah Wildlife Sanctuary,Somwarpet,Central,1,8,7,96,43,17,80,395,503,94,476,15
Punjab,Phawngpui Blue Mountain National Park,Bhavnagar,Northern,0,8,2,45,14,22,58,208,1438,29,247,22
Madhya Pradesh,Ntangki National Park,South Tripura,Northern,1,5,19,97,48,25,96,50,275,91,374,8
Sikkim,Nokrek National Park,South Tripura,Western,0,5,20,92,17,98,27,144,325,83,395,8
Telangana,Chandraprabha Wildlife Sanctuary,Ri-Bhoi,Central,1,4,18,95,48,28,68,419,1279,14,575,22
Himachal Pradesh,Ramnagar Wildlife Sanctuary,Bahraich,Western,0,5,10,94,25,51,27,348,556,142,958,16
Punjab,Mahatma Gandhi Marine National Park,Sangareddy,Central,1,2,25,81,49,74,88,304,512,208,77,6
Jammu and Kashmir,Mount Abu Wildlife Sanctuary,Kaimur,Central,1,2,5,83,43,45,83,271,1170,22,711,14
Nagaland,Indravati National Park,Hazaribagh,Western,0,5,16,47,21,0,84,488,294,143,40,7
Jammu and Kashmir,Nawabganj Bird Sanctuary,Ri-Bhoi,Central,0,11,29,75,14,62,12,458,374,86,257,21
Madhya Pradesh,Puliebadze Wildlife Sanctuary,Canacona,Southern,0,3,23,69,16,15,5,43,1690,192,180,5
Gujarat,Kaimur Wildlife Sanctuary,Sivaganga,Central,0,1,27,63,26,24,28,106,55,172,289,20
Odisha,Nagarjunsagar-Srisailam Tiger Reserve,Solan,Central,1,9,25,83,43,61,8,492,911,262,124,10
Kerala,Khalasuni Wildlife Sanctuary,Uttara Kannada,Western,1,2,5,91,49,81,28,149,1997,294,855,17
Nagaland,Khangchendzonga National Park,Golaghat,Northern,1,12,15,95,49,79,37,93,1249,49,623,5
Andaman and Nicobar Islands,Sharavathi Valley Wildlife Sanctuary,Panchkula,Eastern,1,10,22,91,50,82,64,263,1542,47,467,4
Meghalaya,Pulie Badze Wildlife Sanctuary,Raisen,Central,1,2,16,96,42,15,55,109,19,48,234,6
Haryana,Mehao Wildlife Sanctuary,Bishnupur,Eastern,0,4,4,77,23,68,29,17,1182,167,499,8
Maharashtra,Valley of Flowers National Park,Balasore,Central,0,2,14,61,23,90,95,237,1493,166,713,24
Tamil Nadu,Panna National Park,Rajahmundry,Western,1,7,24,97,45,69,58,335,851,81,551,20
West Bengal,Fakim Wildlife Sanctuary,Darrang,Western,0,12,17,86,20,33,86,238,590,62,710,16
Meghalaya,Khalasuni Wildlife Sanctuary,Upper Siang,Central,1,10,17,91,40,79,57,373,920,227,960,18
Meghalaya,Jamwa Ramgarh Wildlife Sanctuary,Gaya,Western,1,1,21,84,41,52,9,211,365,213,822,12
Uttarakhand,Harike Wetland Wildlife Sanctuary,Lohit,Western,0,11,16,98,11,22,20,230,0,129,637,11
West Bengal,Bhagwan Mahavir Wildlife Sanctuary,Amravati,Central,1,2,26,94,45,42,55,327,912,153,73,9
Uttar Pradesh,Chandraprabha Wildlife Sanctuary,Gurgaon,Northern,0,11,9,90,19,43,25,349,847,241,690,9
Telangana,Sitanadi Wildlife Sanctuary,Siang,Central,1,5,2,94,39,31,14,293,1252,95,4,17
Madhya Pradesh,Shirui National Park,North Tripura,Northern,0,2,11,51,22,22,80,412,724,231,823,4
Tamil Nadu,Mehao Wildlife Sanctuary,Udhagamandalam (Ooty),Western,1,9,15,98,50,19,34,460,1306,237,117,23
Arunachal Pradesh,Baghmara Pitcher Plant Wildlife Sanctuary,Baksa,Northern,1,4,3,96,42,18,88,80,759,17,743,11
Sikkim,Jamwa Ramgarh Wildlife Sanctuary,Khammam,Western,0,9,24,23,12,92,14,254,1142,245,660,6
Andaman and Nicobar Islands,Unnamed Wildlife Sanctuary (Andaman and Nicobar Islands),Kendrapara,Northern,1,11,16,95,44,71,96,231,1914,59,313,8
Arunachal Pradesh,Eaglenest Wildlife Sanctuary,Hazaribagh,Northern,1,12,21,100,49,28,74,362,226,129,200,5
Jammu and Kashmir,Vettangudi Bird Sanctuary,Kurnool,Central,0,1,19,83,21,17,87,208,1047,48,860,15
Gujarat,Anshi National Park,Belonia,Northern,0,1,22,47,26,68,5,456,701,165,542,5
Manipur,Bhagwan Mahavir Wildlife Sanctuary,Navsari,Western,0,1,6,100,14,11,27,385,307,167,748,23
Odisha,Ranthambore National Park,Idukki,Central,1,4,14,93,42,9,62,442,1330,252,429,10
Chhattisgarh,Simlipal National Park,Gaya,Northern,0,9,5,46,14,36,28,297,961,63,666,23
Jammu and Kashmir,Trishna Wildlife Sanctuary,Hyderabad,Central,0,8,5,42,22,80,47,373,568,32,709,12
Haryana,Baghmara Pitcher Plant Wildlife Sanctuary,Nicobar Islands,Eastern,0,7,6,78,27,95,62,471,1517,57,618,20
Assam,Udanti Wildlife Sanctuary,Dimapur,Central,1,1,18,100,48,54,57,20,1531,63,158,4
Telangana,Daranghati Wildlife Sanctuary,Almora,Eastern,0,3,22,23,22,3,20,237,1334,124,680,8
Haryana,Coringa Wildlife Sanctuary,Ukhrul,Eastern,1,9,18,90,44,94,75,385,1844,60,300,21
Punjab,Indira Gandhi Wildlife Sanctuary,Gwalior,Central,1,9,19,96,45,62,21,260,1112,248,419,22
Assam,Lothian Island Wildlife Sanctuary,Gurgaon,Western,0,5,2,89,20,89,26,272,1298,137,257,21
Assam,Rajgir Wildlife Sanctuary,Tarn Taran,Western,1,12,17,86,49,11,84,279,620,65,61,15
Nagaland,Silent Valley National Park,Wardha,Western,1,6,28,89,42,17,78,391,652,178,660,20
Gujarat,Kamlang Wildlife Sanctuary,South Tripura,Southern,1,11,1,94,50,7,56,413,796,285,161,6
Uttar Pradesh,Unnamed Wildlife Sanctuary (Andaman and Nicobar Islands),Chikkamagaluru,Eastern,1,6,9,97,50,31,81,433,479,280,85,11
Andhra Pradesh,Bhadra Wildlife Sanctuary,Kohima,Central,1,10,13,83,40,83,9,149,901,170,12,14
Himachal Pradesh,Rani Jhansi Marine National Park,Pauri,Western,0,4,4,81,17,48,21,314,1911,242,274,14
Jammu and Kashmir,Velavadar National Park,Sawai Madhopur,Western,0,1,5,84,10,62,43,151,1480,119,416,16
Nagaland,Indravati National Park,Pauri,Central,0,5,26,32,26,76,83,281,1779,191,123,22
Karnataka,Galathea National Park,Tarn Taran,Eastern,1,1,30,81,46,58,82,60,896,186,869,11
Andhra Pradesh,Tadoba Andhari Tiger Reserve,Baksa,Central,0,1,31,42,28,86,27,135,919,226,615,7
Kerala,Bandhavgarh National Park,Cachar,Southern,1,11,23,97,39,66,49,11,585,265,48,23
Andaman and Nicobar Islands,Mudumalai National Park,Adilabad,Southern,1,5,31,93,44,98,50,13,1378,191,2,13
Andaman and Nicobar Islands,Maenam Wildlife Sanctuary,Navsari,Central,1,5,18,87,45,38,0,29,261,239,933,10
Jharkhand,Chandoli National Park,Hazaribagh,Eastern,1,7,28,97,41,49,33,438,1199,93,761,11
Uttarakhand,Kyongnosla Alpine Sanctuary,Amravati,Western,0,2,27,39,28,84,34,354,403,125,764,13
Mizoram,Gumti Wildlife Sanctuary,Kodagu,Southern,1,6,10,83,41,70,89,444,1253,98,722,14
Mizoram,Phawngpui Blue Mountain National Park,Adilabad,Southern,0,2,25,53,19,25,60,317,1611,242,582,16
Sikkim,Vallanadu Blackbuck Sanctuary,Mumbai,Eastern,0,10,28,47,27,22,29,286,1346,19,270,14
Manipur,Valmiki National Park,Great Nicobar,Southern,1,5,4,91,45,95,75,219,694,116,549,21
Rajasthan,Thol Lake Wildlife Sanctuary,Kullu,Southern,0,4,26,36,36,62,77,237,785,98,152,4
Haryana,Blue Mountain National Park,Hazaribagh,Eastern,0,11,26,61,22,65,67,26,276,154,316,18
Mizoram,Nokrek National Park,Thane,Central,0,10,13,100,11,38,75,483,1762,184,981,12
Sikkim,Kalesar National Park,Leh,Western,1,5,13,85,41,65,87,256,1983,2,726,4
Uttarakhand,Paniya Wildlife Sanctuary,East Kameng,Western,1,2,17,88,44,45,39,296,676,156,433,13
Mizoram,Unnamed Wildlife Sanctuary (Andaman and Nicobar Islands),Hyderabad,Southern,1,8,8,90,43,14,94,141,1298,174,521,13
Odisha,Kalesar National Park,Lower Dibang Valley,Western,0,8,4,92,11,15,64,249,216,68,611,20
Odisha,Rampara Wildlife Sanctuary,Uttarkashi,Central,0,6,23,78,18,89,36,73,1847,20,868,7
Gujarat,Fambong Lho Wildlife Sanctuary,Nainital,Southern,1,3,3,94,44,71,63,433,189,297,945,18
Himachal Pradesh,Khangchendzonga National Park,South Andaman,Western,1,4,11,87,50,15,0,297,1041,117,890,4
Gujarat,Hadagarh Wildlife Sanctuary,Solan,Northern,0,1,12,80,26,84,14,198,743,276,489,10
Karnataka,Melghat Tiger Reserve,Kendrapara,Northern,1,9,9,100,40,38,12,295,1437,129,809,18
Andhra Pradesh,Overa-Aru Wildlife Sanctuary,Balasore,Northern,1,10,15,96,47,10,28,13,1207,205,745,23
Maharashtra,Kalesar National Park,Mannargudi,Northern,0,5,13,73,12,87,54,99,1641,196,198,11
Gujarat,Saman Sanctuary,Gurugram,Northern,0,8,5,43,10,35,44,90,242,134,435,14
Tamil Nadu,Tansa Wildlife Sanctuary,Sonitpur,Southern,1,3,5,81,42,17,3,394,1449,202,685,21
Mizoram,Blue Mountain National Park,Ahmedabad,Eastern,1,4,19,90,49,22,63,190,52,34,216,13
Manipur,Clouded Leopard National Park,Meerut,Eastern,1,4,11,94,41,76,14,361,1249,29,509,6
Goa,North Button Island National Park,Palakkad,Southern,1,8,9,100,44,48,47,304,1737,256,39,12
West Bengal,Tansa Wildlife Sanctuary,Palakkad,Southern,0,12,3,33,11,41,75,420,1621,181,697,4
Sikkim,Bhadra Wildlife Sanctuary,Dang,Central,1,9,18,82,42,43,55,105,561,207,488,20
Nagaland,Binsar Wildlife Sanctuary,Almora,Eastern,1,3,27,99,46,0,88,393,1918,128,791,21
Punjab,Pakke Wildlife Sanctuary,Bhagalpur,Northern,0,7,13,94,38,6,90,437,771,62,580,5
Gujarat,Nagarjunsagar-Srisailam Tiger Reserve,Mamit,Southern,0,9,25,20,31,47,69,6,318,76,248,15
Maharashtra,Yangoupokpi-Lokchao Wildlife Sanctuary,Pratapgarh,Northern,0,2,28,61,14,84,86,80,706,14,84,4
Uttarakhand,Kaimur Wildlife Sanctuary,Anantnag,Eastern,0,4,12,47,36,15,14,252,1392,58,679,18
Meghalaya,Pin Valley National Park,North Andaman,Western,0,3,9,28,24,47,38,499,247,150,403,12
Goa,Sultanpur National Park,Mandla,Western,0,8,10,100,13,77,68,139,1591,107,28,11
Rajasthan,Galathea National Park,Kolhapur,Southern,0,4,28,45,33,42,86,484,176,106,36,17
Nagaland,Thattekad Bird Sanctuary,Banaskantha,Central,1,9,13,94,46,50,78,356,1499,138,506,24
Andhra Pradesh,Kawal Wildlife Sanctuary,South Goa,Northern,1,1,20,89,48,65,88,310,1685,279,531,17
Jharkhand,Purna Wildlife Sanctuary,West Kameng,Southern,0,1,20,29,16,30,59,419,1931,71,657,19
Andhra Pradesh,Rajaji National Park,Lakhimpur Kheri,Central,1,4,13,91,48,38,93,6,1968,110,259,23
Mizoram,Middle Button Island National Park,Panna,Northern,1,3,27,92,40,8,43,151,12,225,650,15
Tamil Nadu,Mudumalai National Park,"Idukki, Pathanamthitta, and Thekkady",Eastern,0,3,26,54,30,40,42,289,1384,105,254,20
Odisha,Lawalong Wildlife Sanctuary,Nilgiris,Western,0,10,31,100,27,62,3,125,288,158,959,24
Telangana,Baghmara Pitcher Plant Sanctuary,North Tripura,Central,0,12,29,90,20,13,76,448,430,149,85,18
Assam,Bhimashankar Wildlife Sanctuary,Mainpuri,Northern,0,2,29,55,17,57,49,284,575,13,563,23
Chhattisgarh,Jamwa Ramgarh Wildlife Sanctuary,East Kameng,Southern,0,10,22,48,38,73,38,281,1362,4,810,22
Telangana,Jhalana Dungari Wildlife Sanctuary,North Goa,Northern,1,10,9,89,39,87,53,73,1640,126,653,7
Tamil Nadu,Valley of Flowers National Park,Raipur,Southern,1,2,24,83,49,96,22,448,1936,272,633,15
Karnataka,Vallanadu Blackbuck Sanctuary,Somwarpet,Western,0,8,10,94,33,97,59,44,1774,210,940,23
Goa,Clouded Leopard National Park,Mandla,Western,0,1,19,83,24,83,79,16,33,216,411,4
Kerala,Kawal Wildlife Sanctuary,Uttarkashi,Northern,1,8,6,100,47,63,34,232,1347,78,387,23
Gujarat,Galathea National Park,Meerut,Northern,1,10,31,97,49,27,53,163,1574,92,399,16
Maharashtra,Kinnerasani Wildlife Sanctuary,Porbandar,Southern,1,3,29,99,43,3,57,456,1479,237,421,17
Telangana,South Button Island National Park,Bhagalpur,Southern,0,2,7,40,31,33,61,486,1248,233,958,19
Punjab,Udanti Wildlife Sanctuary,Jalpaiguri,Central,0,9,15,99,36,3,79,62,640,176,662,17
Meghalaya,Jaisamand Wildlife Sanctuary,West Garo Hills,Central,1,5,31,96,48,69,47,406,132,254,332,16
Telangana,Nameri National Park,Kiphire,Central,0,5,22,26,18,57,6,92,1503,131,659,18
Kerala,Kolleru Lake Wildlife Sanctuary,Kohima,Northern,1,6,19,86,45,85,44,321,1575,264,452,15
Bihar,Guindy National Park,Panchkula,Central,0,4,14,72,18,3,12,465,1854,291,594,17
Tamil Nadu,Unknown Sanctuary (Andaman and Nicobar Islands),Kaimur,Northern,0,7,30,84,21,49,52,91,896,178,148,18
Punjab,Jessore Sloth Bear Sanctuary,Gurugram,Western,1,7,16,93,42,4,92,372,1954,145,169,21
Kerala,Periyar National Park,Bhavnagar,Eastern,1,11,14,83,47,74,38,494,981,142,324,8
Assam,Rowa Wildlife Sanctuary,Umaria,Western,0,9,29,90,38,44,83,41,1244,19,781,9
Sikkim,Hadagarh Wildlife Sanctuary,Kohima,Northern,1,6,29,94,43,34,92,240,400,57,227,20
Goa,Sessa Orchid Sanctuary,Canacona,Northern,0,1,25,49,35,82,17,326,605,295,325,19
Nagaland,Govind Wildlife Sanctuary,Porbandar,Eastern,1,9,20,95,45,74,21,254,610,65,4,13
Jharkhand,Katarniaghat Wildlife Sanctuary,Upper Siang,Southern,1,12,2,96,40,74,35,330,1083,12,151,15
Odisha,Hemis National Park,Raebareli,Southern,0,10,9,100,35,26,52,70,640,61,220,11
Maharashtra,Khawnglung Wildlife Sanctuary,Palakkad,Southern,0,9,3,49,31,1,99,298,131,45,156,22
Himachal Pradesh,Simlipal National Park,Chennai,Central,0,5,6,27,31,53,71,215,392,92,257,11
Jharkhand,Kanwar Lake Bird Sanctuary,Mayurbhanj,Southern,1,7,5,84,46,71,2,310,812,222,5,13
Manipur,Govind Wildlife Sanctuary,Kaimur,Central,1,1,14,82,48,97,61,55,927,22,289,9
Arunachal Pradesh,Eaglenest Wildlife Sanctuary,Latehar,Central,0,4,29,38,16,83,28,78,580,66,203,12
Kerala,Pushpagiri Wildlife Sanctuary,Tinsukia,Southern,1,12,15,90,39,86,72,414,13,113,277,6
Andaman and Nicobar Islands,Intanki National Park,Chikkamagaluru,Southern,0,10,18,100,31,78,7,498,434,205,899,19
Jharkhand,Valmiki National Park,West Garo Hills,Eastern,0,4,17,45,26,47,93,338,473,65,880,20
Odisha,Baghmara Pitcher Plant Sanctuary,Lahaul and Spiti,Eastern,0,5,9,74,36,76,75,439,150,49,133,10
Karnataka,Pushpagiri Wildlife Sanctuary,Ukhrul,Central,0,6,19,29,12,94,45,120,1709,140,834,20
Kerala,Sariska Tiger Reserve,Sangareddy,Eastern,0,4,23,84,36,48,91,201,469,257,588,5
Gujarat,Pench National Park,East Sikkim,Central,1,6,25,92,48,77,55,431,410,33,446,5
Bihar,Fakim Wildlife Sanctuary,Chamarajanagar,Northern,1,10,9,81,46,0,48,435,344,295,982,10
West Bengal,Vallanadu Blackbuck Sanctuary,Mamit,Central,0,7,28,61,32,90,42,327,803,252,994,23
Andaman and Nicobar Islands,Galathea National Park,Amravati,Central,1,3,16,94,43,32,9,256,1219,68,345,10
Mizoram,Neyyar Wildlife Sanctuary,Chandauli,Eastern,0,9,26,68,34,34,12,129,543,188,115,18
Tripura,Bondla Wildlife Sanctuary,Pratapgarh,Northern,1,8,6,87,44,53,56,348,1096,152,712,22
Chhattisgarh,Khalasuni Wildlife Sanctuary,Lohit,Western,1,1,8,88,44,55,1,41,193,202,598,5
Haryana,Bhimashankar Wildlife Sanctuary,Thiruvananthapuram,Western,0,2,25,39,26,14,64,73,937,76,579,23
Andaman and Nicobar Islands,Bandhavgarh National Park,Shimla,Western,1,2,3,89,39,68,85,233,1585,190,929,12
Uttarakhand,Vikramshila Gangetic Dolphin Sanctuary,Sanguem,Northern,0,10,22,37,14,3,96,8,1592,27,612,20
Jammu and Kashmir,Barda Wildlife Sanctuary,Sonitpur,Southern,1,9,5,96,50,83,79,369,628,212,967,9
Nagaland,Katarniaghat Wildlife Sanctuary,Lakhimpur Kheri,Northern,0,12,7,75,34,63,41,30,1215,55,673,21
Telangana,Phawngpui Blue Mountain National Park,West Tripura,Eastern,0,9,23,100,19,21,57,95,429,111,312,6
Maharashtra,Murlen National Park,Mannargudi,Central,0,9,25,25,17,23,92,257,1524,242,420,14
Maharashtra,Netravali Wildlife Sanctuary,Kohima,Central,0,1,1,37,32,46,9,279,216,153,901,20
Mizoram,"Marine National Park, Gulf of Kutch",Kohima,Eastern,0,7,22,67,13,74,62,228,1020,154,582,17
Kerala,Vallanadu Blackbuck Sanctuary,West Garo Hills,Eastern,0,12,21,72,27,5,70,244,1646,281,172,18
Tamil Nadu,Sessa Orchid Sanctuary,Kolhapur,Central,1,11,4,87,44,26,60,426,969,270,168,20
West Bengal,Barda Wildlife Sanctuary,Sirohi,Southern,0,3,26,86,34,9,0,197,484,49,102,4
Gujarat,Mhadei Wildlife Sanctuary,South Tripura,Southern,1,11,28,94,47,38,25,455,600,67,227,7
Madhya Pradesh,Bhagwan Mahavir Wildlife Sanctuary,Tarn Taran,Southern,0,9,16,23,36,73,4,231,359,131,132,17
Himachal Pradesh,Betla National Park,Udhampur,Eastern,1,8,27,97,40,89,34,472,1845,157,571,23
Meghalaya,Pin Valley National Park,Sepahijala,Central,0,3,14,46,29,36,12,489,1332,264,962,10
Andhra Pradesh,Rollapadu Wildlife Sanctuary,Thiruvananthapuram,Central,0,1,1,85,22,53,26,298,668,169,656,11
Chhattisgarh,Guindy National Park,Dang,Central,1,9,4,82,43,96,11,50,420,269,210,20
Jharkhand,Khijadia Bird Sanctuary,Devbhoomi Dwarka,Northern,0,10,10,33,38,50,93,216,580,219,108,7
Uttar Pradesh,Netravali Wildlife Sanctuary,Mainpuri,Northern,0,1,11,89,26,59,49,173,781,39,192,6
Goa,Gandhi Sagar Wildlife Sanctuary,Mayurbhanj,Western,0,3,7,82,16,71,95,74,1760,288,356,7
Chhattisgarh,Kalesar National Park,Shimla,Northern,0,6,4,88,15,50,58,98,1434,78,694,4
Karnataka,Keibul Lamjao National Park,Porbandar,Southern,1,6,1,90,45,61,30,0,516,238,520,15
Mizoram,Govind Wildlife Sanctuary,Nagpur,Southern,0,11,26,86,18,48,68,123,242,59,643,4
